posX	posY
493.125	420.375
494.625	424.75
496.125	428.75
497.625	432.1875
499.125	432.1875
500.625	432.1875
502.125	432.1875
503.625	432.1875
505.125	432.1875
506.625	432.1875
508.125	432.1875
509.625	432.1875
511.125	432.1875
512.625	432.1875
514.125	432.1875
515.625	432.1875
517.125	432.1875
518.625	432.1875
520.125	432.1875
521.625	432.1875
523.125	432.1875
524.625	432.1875
526.125	432.1875
527.625	432.1875
529.125	432.1875
530.625	432.1875
532.125	432.1875
533.625	432.1875
535.125	428
536.625	424.1171875
538.125	420.3515625
539.625	416.703125
541.125	413.171875
542.625	409.7578125
544.125	406.4609375
545.625	403.28125
547.125	400.21875
548.625	397.2734375
550.125	394.4453125
551.625	391.734375
553.125	389.140625
554.625	386.6640625
556.125	384.3046875
557.625	382.0625
559.125	379.9375
560.625	377.9296875
562.125	376.0390625
563.625	374.265625
565.125	372.609375
566.625	371.0703125
568.125	369.6484375
569.625	368.34375
571.125	367.15625
572.625	366.0859375
574.125	365.1328125
575.625	364.296875
577.125	363.578125
578.625	362.9765625
580.125	362.4921875
581.625	362.125
583.125	361.875
584.625	361.7421875
586.125	361.7265625
587.625	361.828125
589.125	362.3046875
590.625	363.15625
592.125	364.3828125
593.625	365.984375
595.125	367.9609375
596.625	370.3125
598.125	373.0390625
599.625	376.140625
601.125	379.6171875
602.625	383.46875
604.125	384.6953125
605.625	384.6953125
607.125	384.6953125
608.625	384.6953125
610.125	384.6953125
611.625	384.6953125
613.125	384.6953125
614.625	384.6953125
616.125	384.6953125
617.625	384.6953125
619.125	384.6953125
620.625	384.6953125
622.125	384.6953125
623.625	384.6953125
625.125	384.6953125
626.625	384.6953125
628.125	384.6953125
629.625	384.6953125
631.125	384.6953125
632.625	384.6953125
634.125	384.6953125
635.625	384.6953125
637.125	384.6953125
638.625	384.6953125
640.125	385.0703125
641.625	385.8203125
643.125	386.9453125
644.625	388.4453125
646.125	390.3203125
647.625	392.5703125
649.125	395.1953125
650.625	398.1953125
652.125	401.5703125
653.625	405.3203125
655.125	409.4453125
656.625	413.4453125
658.125	417.8203125
659.625	421.8203125
661.125	426.1953125
662.625	430.1953125
664.125	432.5703125
665.625	432.5703125
667.125	432.5703125
668.625	432.5703125
670.125	432.5703125
671.625	432.5703125
673.125	432.5703125
674.625	432.5703125
676.125	432.5703125
677.625	432.5703125
679.125	432.5703125
680.625	432.5703125
682.125	432.5703125
683.625	432.5703125
685.125	432.5703125
686.625	432.5703125
688.125	428
689.625	424.1171875
691.125	420.3515625
692.625	416.703125
694.125	413.171875
695.625	409.7578125
697.125	406.71875
698.625	404.0546875
700.125	401.765625
